DRUG_NAME,index
Rapamycin,0
Sunitinib,1
Paclitaxel,2
Dasatinib,3
Bortezomib,4
Doxorubicin,5
Gemcitabine,6
Vinorelbine,7
Ponatinib,8
Luminespib,9
Bryostatin 1,10
Epothilone B,11
Ispinesib Mesylate,12
Cabozantinib,13
Quizartinib,14
CUDC-101,15
Linifanib,16
Omipalisib,17
Tivozanib,18
Trichostatin A,19
Panobinostat,20
ARRY-520,21
Vinblastine,22
Docetaxel,23
Methotrexate,24
Temsirolimus,25
Lestaurtinib,26
Tanespimycin,27
Motesanib,28
Elesclomol,29
PD0325901,30
Daporinad,31
Trametinib,32
AZD6094,33
SN-38,34
Camptothecin,35
Cytarabine,36
Navitoclax,37
Nilotinib,38
AZD7762,39
Afatinib,40
Staurosporine,41
Dactolisib,42
Sorafenib,43
BI-2536,44
Dabrafenib,45
Epirubicin,46
AZD5991,47
Topotecan,48
Mitoxantrone,49
Dactinomycin,50
Vincristine,51
Venetoclax,52
Savolitinib,53
Foretinib,54
Pyrimethamine,55
Seliciclib,56
Etoposide,57
Fluorouracil,58
Bleomycin,59
Phenformin,60
Tipifarnib,61
Avagacestat,62
AT-7519,63
TAK-715,64
Enzastaurin,65
Idelalisib,66
CP724714,67
ACY-1215,68
Zibotentan,69
Belinostat,70
I-BET-762,71
JNJ38877605,72
Masitinib,73
Amuvatinib,74
OSI-930,75
OSI-027,76
CX-5461,77
PHA-793887,78
Fedratinib,79
GSK690693,80
T0901317,81
Selisistat,82
CI-1033,83
PF-00299804,84
Pilaralisib,85
GSK1059615,86
Voxtalisib,87
BIBF-1120,88
Apitolisib,89
CPI-613,90
Pemetrexed,91
FTY-720,92
AICA Ribonucleotide,93
Tretinoin,94
Veliparib,95
Lenalidomide,96
Vismodegib,97
Serdemetan,98
Capivasertib,99
CCT-018159,100
Temozolomide,101
Bicalutamide,102
Gefitinib,103
Vorinostat,104
Olaparib,105
Axitinib,106
PLX-4720,107
Doramapimod,108
Alisertib,109
MK-2206,110
Palbociclib,111
Pictilisib,112
Obatoclax Mesylate,113
Crizotinib,114
Irinotecan,115
PRIMA-1MET,116
Erlotinib,117
Niraparib,118
Tamoxifen,119
Fulvestrant,120
Talazoparib,121
AZD2014,122
Ruxolitinib,123
Linsitinib,124
Cyclophosphamide,125
Pevonedistat,126
Sapitinib,127
Uprosertib,128
LCL161,129
Lapatinib,130
Alpelisib,131
Taselisib,132
EPZ5676,133
Leflunomide,134
Entinostat,135
LGK974,136
VE-822,137
RVX-208,138
OTX015,139
Entospletinib,140
Ribociclib,141
Selumetinib,142
Ibrutinib,143
Zoledronate,144
Acetalax,145
Carmustine,146
Teniposide,147
Fludarabine,148
Nelarabine,149
Ulixertinib,150
Afuresertib,151
AZD3759,152
AZD5363,153
AZD6738,154
AZD8186,155
Osimertinib,156
Cediranib,157
Ipatasertib,158
GDC0810,159
AMG-319,160
MK-8776,161
AZD6482,162
Dacinostat,163
Sepantronium bromide,164
SNX-2112,165
TW 37,166
AZD-4877,167
AZD-4547,168
ABT-737,169
PI-103,170
TPCA-1,171
Brivanib,172
"CAP-232, TT-232, TLN-232",173
AZD5153,174
JQ1,175
NVP-TAE684,176
A-770041,177
WH-4-023,178
GW843682X,179
GSK1070916,180
NG-25,181
CD532,182
NSC319726,183
IOX2,184
Cyclopamine,185
S-Trityl-L-cysteine,186
TGX221,187
XMD8-85,188
NSC-87877,189
QS11,190
CP466722,191
DMOG,192
OSU-03012,193
Embelin,194
IPA-3,195
GSK650394,196
BAY-61-3606,197
LFM-A13,198
GW-2580,199
AS601245,200
BX-912,201
AS605240,202
AKT inhibitor VIII,203
GSK429286A,204
QL-XII-47,205
IC-87114,206
STF-62247,207
FR-180204,208
Tubastatin A,209
NSC-207895,210
CAY10603,211
BIX02189,212
SU11274,213
NVP-BHG712,214
SB52334,215
Y-39983,216
QL-X-138,217
Tenovin-6,218
AT7867,219
TWS119,220
Torin 2,221
AST-1306,222
kb NB 142-70,223
Ara-G,224
IMD-0354,225
MIM1,226
ETP-45835,227
SB505124,228
A-83-01,229
BAM7,230
Kobe2602,231
RU-SKI 43,232
BX795,233
SL0101,234
JNK Inhibitor VIII,235
Mirin,236
SB590885,237
CCT007093,238
EHT-1864,239
XMD8-92,240
KU-60019,241
CHIR-99021,242
AZD3514,243
BPTES,244
SB216763,245
KU-55933,246
Wee1 Inhibitor,247
Nutlin-3a (-),248
PD173074,249
ZM447439,250
BMS-536924,251
Tozasertib,252
PF-4708671,253
EPZ004777,254
YK-4-279,255
BMS-345541,256
AZ960,257
XAV939,258
AZD5438,259
AZD1208,260
AZD1332,261
SCH772984,262
WZ4003,263
CZC24832,264
GSK2606414,265
PCI-34051,266
Wnt-C59,267
ML323,268
PRT062607,269
AGI-6780,270
Elephantin,271
Sinularin,272
LY2109761,273
MN-64,274
AGI-5198,275
GSK2578215A,276
I-BRD9,277
MIRA-1,278
NVP-ADW742,279
P22077,280
UMI-77,281
WIKI4,282
WEHI-539,283
BIBR-1532,284
Pyridostatin,285
VX-11e,286
LJI308,287
AZ6102,288
GSK591,289
VE821,290
AT13148,291
FMK,292
AZ628,293
Imatinib,294
CGP-60474,295
A-443654,296
Mitomycin-C,297
Midostaurin,298
JNK-9L,299
HG6-64-1,300
Shikonin,301
BMS-754807,302
Bexarotene,303
Pazopanib,304
ZSTK474,305
AR-42,306
Alectinib,307
Pelitinib,308
WYE-125132,309
CAY10566,310
Flavopiridol,311
Refametinib,312
CI-1040,313
GW441756,314
VX-702,315
AZD8055,316
GSK269962A,317
(5Z)-7-Oxozeaenol,318
AZD8931,319
AZD1480,320
Dinaciclib,321
Podophyllotoxin bromide,322
Dihydrorotenone,323
PHA-665752,324
Saracatinib,325
GNF-2,326
CGP-082996,327
BMS-509744,328
CMK,329
Parthenolide,330
GSK319347A,331
PF-562271,332
FTI-277,333
PAC-1,334
YM201636,335
Sphingosine Kinase 1 Inhibitor II,336
LDN-193189,337
Bosutinib,338
RO-3306,339
ZG-10,340
Rucaparib,341
