Array1,Array2,Cosine Similarity
Rapamycin,Sunitinib,0.4646472979936344
Rapamycin,Paclitaxel,0.767333232670221
Rapamycin,Dasatinib,0.438150438150657
Rapamycin,Bortezomib,0.5132649025747366
Rapamycin,Doxorubicin,0.678844233302131
Rapamycin,Gemcitabine,0.5259851153369052
Rapamycin,Vinorelbine,0.6196393949470662
Rapamycin,Ponatinib,0.426518056804198
Rapamycin,Luminespib,0.6334190618477258
Rapamycin,Bryostatin 1,0.794244529575027
Rapamycin,Epothilone B,0.6254938984452816
Rapamycin,Ispinesib Mesylate,0.4953090647358555
Rapamycin,Cabozantinib,0.5307533680116416
Rapamycin,Quizartinib,0.4704570355000353
Rapamycin,CUDC-101,0.5144571571488101
Rapamycin,Linifanib,0.37876575538624246
Rapamycin,Omipalisib,0.44147400364003564
Rapamycin,Tivozanib,0.4914771506604535
Rapamycin,Trichostatin A,0.537355267428887
Rapamycin,Panobinostat,0.44779284628020066
Rapamycin,ARRY-520,0.4610029491934791
Rapamycin,Vinblastine,0.6313307042856902
Rapamycin,Docetaxel,0.7581425055034356
Rapamycin,Methotrexate,0.5157963676845043
Rapamycin,Temsirolimus,0.9920317455237933
Rapamycin,Lestaurtinib,0.5488516997650303
Rapamycin,Tanespimycin,0.7962982538539876
Rapamycin,Motesanib,0.4270280332442714
Rapamycin,Elesclomol,0.48737732496649394
Rapamycin,PD0325901,0.5295076630871443
Rapamycin,Daporinad,0.504537614820326
Rapamycin,Trametinib,0.482307635398602
Rapamycin,AZD6094,0.33866700533384136
Rapamycin,SN-38,0.6304339420761844
Rapamycin,Camptothecin,0.6342734106241533
Rapamycin,Cytarabine,0.5487032611687345
Rapamycin,Navitoclax,0.5174129855989682
Rapamycin,Nilotinib,0.41936676829758135
Rapamycin,AZD7762,0.4962554539067036
Rapamycin,Afatinib,0.4881999033154454
Rapamycin,Staurosporine,0.5334005334007998
Rapamycin,Dactolisib,0.41177232982912193
Rapamycin,Sorafenib,0.4841331252718123
Rapamycin,BI-2536,0.5414795107652042
Rapamycin,Dabrafenib,0.36081983441967463
Rapamycin,Epirubicin,0.678844233302131
Rapamycin,AZD5991,0.5189251378062568
Rapamycin,Topotecan,0.620557081520875
Rapamycin,Mitoxantrone,0.5735158065686708
Rapamycin,Dactinomycin,0.6365941146331316
Rapamycin,Vincristine,0.6434377178672337
Rapamycin,Venetoclax,0.6434377178672337
Rapamycin,Savolitinib,0.33866700533384136
Rapamycin,Foretinib,0.5709068045130063
Rapamycin,Pyrimethamine,0.34522813815297315
Rapamycin,Seliciclib,0.44866323818505716
Rapamycin,Etoposide,0.656394148233809
Rapamycin,Fluorouracil,0.3499711969715186
Rapamycin,Bleomycin,0.5635759629410774
Rapamycin,Phenformin,0.44007226050961906
Rapamycin,Tipifarnib,0.4129169003188353
Rapamycin,Avagacestat,0.4474321215796983
Rapamycin,AT-7519,0.4506195623039558
Rapamycin,TAK-715,0.4332242888591059
Rapamycin,Enzastaurin,0.48790262355704106
Rapamycin,Idelalisib,0.42719862282065957
Rapamycin,CP724714,0.49694234079582
Rapamycin,ACY-1215,0.44435597137808674
Rapamycin,Zibotentan,0.49694234079582
Rapamycin,Belinostat,0.42739782212438177
Rapamycin,I-BET-762,0.4928424131536673
Rapamycin,JNJ38877605,0.3485018739693151
Rapamycin,Masitinib,0.4245918092377112
Rapamycin,Amuvatinib,0.5400936311518658
Rapamycin,OSI-930,0.4572004572006857
Rapamycin,OSI-027,0.5148685324767548
Rapamycin,CX-5461,0.43422352216836557
Rapamycin,PHA-793887,0.43153517269121655
Rapamycin,Fedratinib,0.4330971298114441
Rapamycin,GSK690693,0.4307249620564535
Rapamycin,T0901317,0.5080005080007621
Rapamycin,Selisistat,0.4236308559074623
Rapamycin,CI-1033,0.47550369185031793
Rapamycin,PF-00299804,0.47158572738640925
Rapamycin,Pilaralisib,0.4107020109613894
Rapamycin,GSK1059615,0.4252766335619246
Rapamycin,Voxtalisib,0.38579302702075347
Rapamycin,BIBF-1120,0.5916429298935038
Rapamycin,Apitolisib,0.4978802236290471
Rapamycin,CPI-613,0.5487877225347653
Rapamycin,Pemetrexed,0.5302610570375318
Rapamycin,FTY-720,0.5907038028874423
Rapamycin,AICA Ribonucleotide,0.4482809325681625
Rapamycin,Tretinoin,0.6066272367890035
Rapamycin,Veliparib,0.40065798144434417
Rapamycin,Lenalidomide,0.5318130318132979
Rapamycin,Vismodegib,0.4332242888591059
Rapamycin,Serdemetan,0.3822254657729742
Rapamycin,Capivasertib,0.504313922672412
Rapamycin,CCT-018159,0.526498486319028
Rapamycin,Temozolomide,0.28315258016083517
Rapamycin,Bicalutamide,0.4764530929270797
Rapamycin,Gefitinib,0.48271342027862135
Rapamycin,Vorinostat,0.485768568508233
Rapamycin,Olaparib,0.5372945404854846
Rapamycin,Axitinib,0.42052364433908684
Rapamycin,PLX-4720,0.40181878170803986
Rapamycin,Doramapimod,0.5042328378903224
Rapamycin,Alisertib,0.5081379354367943
Rapamycin,MK-2206,0.42508914199604836
Rapamycin,Palbociclib,0.4391123612013369
Rapamycin,Pictilisib,0.40669506625758156
Rapamycin,Obatoclax Mesylate,0.4410679572674032
Rapamycin,Crizotinib,0.46641537504854824
Rapamycin,Irinotecan,0.6444862325855649
Rapamycin,PRIMA-1MET,0.7021529584658392
Rapamycin,Erlotinib,0.4635504635506952
Rapamycin,Niraparib,0.4572026214785729
Rapamycin,Tamoxifen,0.5903453969241913
Rapamycin,Fulvestrant,0.523875523875786
Rapamycin,Talazoparib,0.4454987191930237
Rapamycin,AZD2014,0.5212229725336119
Rapamycin,Ruxolitinib,0.34360803699009385
Rapamycin,Linsitinib,0.41409498231429975
Rapamycin,Cyclophosphamide,0.348061709191083
Rapamycin,Pevonedistat,0.4593064605163987
Rapamycin,Sapitinib,0.5040161287741856
Rapamycin,Uprosertib,0.525492903493545
Rapamycin,LCL161,0.521535018009537
Rapamycin,Lapatinib,0.4809510640829132
Rapamycin,Alpelisib,0.4442455557564435
Rapamycin,Taselisib,0.497600665346705
Rapamycin,EPZ5676,0.4953004953007427
Rapamycin,Leflunomide,0.4533593370237754
Rapamycin,Entinostat,0.5281344704995896
Rapamycin,LGK974,0.45295618413765726
Rapamycin,VE-822,0.46700201380004813
Rapamycin,RVX-208,0.5778977802365024
Rapamycin,OTX015,0.45564524748282587
Rapamycin,Entospletinib,0.408299729800105
Rapamycin,Ribociclib,0.42645515934568246
Rapamycin,Selumetinib,0.4103408277258366
Rapamycin,Ibrutinib,0.491413731184969
Rapamycin,Zoledronate,0.2759994029407129
Rapamycin,Acetalax,0.5846428876939911
Rapamycin,Carmustine,0.28112676511587475
Rapamycin,Teniposide,0.6295290447483886
Rapamycin,Fludarabine,0.4016868896542422
Rapamycin,Nelarabine,0.41619873562838394
Rapamycin,Ulixertinib,0.5157963676845044
Rapamycin,Afuresertib,0.4252487774115226
Rapamycin,AZD3759,0.49041397319268876
Rapamycin,AZD5363,0.49041397319268876
Rapamycin,AZD6738,0.41968602983225894
Rapamycin,AZD8186,0.6159907857215414
Rapamycin,Osimertinib,0.47491069731051905
Rapamycin,Cediranib,0.4799477481782492
Rapamycin,Ipatasertib,0.5588005588008379
Rapamycin,GDC0810,0.4303893192784234
Rapamycin,AMG-319,0.36027809705790054
Rapamycin,MK-8776,0.3401156805596401
Rapamycin,AZD6482,0.630486669851326
Rapamycin,Dacinostat,0.471907412024785
Rapamycin,Sepantronium bromide,0.4846315153706657
Rapamycin,SNX-2112,0.526498486319028
Rapamycin,TW 37,0.5802709136450674
Rapamycin,AZD-4877,0.49208226123522397
Rapamycin,AZD-4547,0.5443457040678398
Rapamycin,ABT-737,0.47004408793248376
Rapamycin,PI-103,0.5448027494812173
Rapamycin,TPCA-1,0.436562936563155
Rapamycin,Brivanib,0.4800153607373195
Rapamycin,"CAP-232, TT-232, TLN-232",0.604764408901475
Rapamycin,AZD5153,0.5773027565146339
Rapamycin,JQ1,0.44424555575644353
Rapamycin,NVP-TAE684,0.420394322794836
Rapamycin,A-770041,0.5344142553317559
Rapamycin,WH-4-023,0.5131283645878145
Rapamycin,GW843682X,0.4765365494162336
Rapamycin,GSK1070916,0.4005180976482572
Rapamycin,NG-25,0.4931176850940596
